draft_pick,player_name,predicted_ws48,rf_score,vs_average,model_rank,draft_model_gap,value_label
12,Aday Mara,0.16,0.154,0.061,1,11,Undervalued
26,Tarris Reed Jr.,0.129,0.138,0.03,2,24,Undervalued
4,Caleb Wilson,0.119,0.136,0.02,3,1,Fair Value
11,Yaxel Lendeborg,0.116,0.133,0.017,4,7,Undervalued
19,Allen Graves,0.115,0.133,0.016,5,14,Undervalued
9,Morez Johnson Jr.,0.116,0.131,0.017,6,3,Fair Value
23,Zuby Ejiofor,0.125,0.127,0.026,7,16,Undervalued
28,Joshua Jefferson,0.103,0.121,0.004,8,20,Undervalued
24,Cameron Carr,0.104,0.12,0.005,9,15,Undervalued
14,Hannes Steinbach,0.104,0.114,0.005,10,4,Fair Value
3,Cameron Boozer,0.109,0.108,0.01,11,-8,Overvalued
10,Brayden Burries,0.089,0.104,-0.01,12,-2,Fair Value
8,Kingston Flemings,0.091,0.104,-0.008,13,-5,Overvalued
5,Keaton Wagler,0.09,0.104,-0.009,14,-9,Overvalued
30,Koa Peat,0.101,0.099,0.002,15,15,Undervalued
18,Christian Anderson,0.084,0.094,-0.015,16,2,Fair Value
2,Darryn Peterson,0.091,0.093,-0.008,17,-15,Overvalued
16,Bennett Stirtz,0.085,0.092,-0.014,18,-2,Fair Value
1,AJ Dybantsa,0.09,0.091,-0.009,19,-18,Overvalued
15,Dailyn Swain,0.091,0.09,-0.008,20,-5,Overvalued
29,Alex Karaban,0.096,0.087,-0.003,21,8,Undervalued
17,Ebuka Okorie,0.084,0.082,-0.015,22,-5,Overvalued
7,Darius Acuff Jr.,0.083,0.082,-0.016,23,-16,Overvalued
13,Nate Ament,0.092,0.074,-0.007,24,-11,Overvalued
6,Mikel Brown Jr.,0.079,0.071,-0.02,25,-19,Overvalued
